# period,game-ver,lobby-mode,lobby,mode,stage,time,win,knockout,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-rank,A1-level,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-rank,A2-level,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-rank,A3-level,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-rank,A4-level,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-rank,B1-level,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-rank,B2-level,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-rank,B3-level,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-rank,B4-level
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,gangaze,180,alpha,FALSE,nzap85,13,10,3,3,3,1068,,70,96gal,5,3,2,2,3,885,,59,sputtery,2,2,0,3,2,829,,99,splatroller,3,3,0,5,1,586,,66,promodeler_mg,4,2,2,6,3,981,,47,splatroller,7,7,0,4,2,763,,59,jetsweeper_custom,4,3,1,3,2,724,,75,splatspinner,1,1,0,5,1,697,,47
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,gangaze,180,alpha,FALSE,nzap85,4,1,3,4,1,853,,70,sputtery,3,3,0,3,3,874,,99,96gal,5,4,1,4,2,839,,59,splatroller,7,7,0,5,1,660,,66,sputtery_hue,9,7,2,2,3,918,,77,nzap85,0,0,0,5,1,830,,38,splatroller,9,9,0,5,1,672,,63,carbon,2,0,2,3,2,621,,65
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,engawa,180,bravo,FALSE,nzap85,10,7,3,2,3,1114,,70,96gal,5,5,0,3,3,980,,59,splatroller,3,1,2,5,2,787,,66,sputtery,3,2,1,6,1,677,,99,bold,5,5,0,6,2,1025,,85,wakaba,8,4,4,2,4,987,,75,heroroller_replica,6,6,0,3,3,843,,52,nzap89,1,1,0,4,3,810,,59
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,mystery,180,alpha,FALSE,nzap85,11,8,3,6,2,1023,,70,sputtery,6,6,0,5,3,1127,,99,splatroller,5,5,0,4,3,999,,66,96gal,6,3,3,4,2,960,,59,bucketslosher_deco,6,6,0,4,4,1238,,55,sshooter,8,6,2,3,3,1087,,54,nzap85,7,3,4,8,2,966,,30,sshooter_collabo,8,4,4,7,1,697,,50
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,gangaze,180,alpha,FALSE,nzap85,11,7,4,0,3,957,,70,96gal,12,5,7,0,3,925,,59,sputtery,3,3,0,3,2,811,,99,splatroller,8,7,1,4,2,741,,66,nzap85,2,2,0,3,2,891,,68,nzap85,1,1,0,8,1,747,,50,52gal_deco,3,3,0,7,0,713,,57,sshooter,1,1,0,4,2,657,,36
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,engawa,180,alpha,FALSE,nzap85,5,3,2,2,3,1060,,70,sputtery,2,2,0,2,4,1126,,99,96gal,7,4,3,4,2,958,,59,splatroller,3,3,0,5,1,534,,66,herospinner_replica,7,7,0,4,0,1029,,55,nzap85,3,2,1,5,2,869,,73,nzap89,2,2,0,1,3,764,,64,nzap89,3,2,1,2,2,663,,64
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,gangaze,180,bravo,FALSE,nzap85,10,6,4,3,3,904,,70,96gal,5,4,1,4,2,813,,59,sputtery,1,1,0,4,1,765,,99,splatroller,5,5,0,5,0,608,,66,nzap85,10,7,3,4,2,943,,67,nzap89,2,1,1,3,2,747,,19,splatcharger_collabo,5,5,0,4,1,703,,73,nzap89,4,3,1,5,1,591,,63
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,mystery,180,bravo,FALSE,nzap85,6,5,1,5,0,1041,,70,96gal,5,2,3,5,2,934,,59,splatroller,7,5,2,5,2,888,,66,sputtery,1,1,0,6,2,874,,99,nzap85,4,3,1,3,3,1112,,54,hokusai_hue,6,4,2,3,3,1000,,52,screwslosher,12,10,2,3,0,967,,69,sshooter_collabo,9,4,5,5,1,835,,61
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,mystery,180,alpha,FALSE,nzap85,2,1,1,2,4,1224,,70,96gal,3,3,0,3,3,1002,,59,splatroller,3,3,0,3,1,987,,66,rapid,3,1,2,3,2,885,,99,nzap89,1,1,0,1,4,1088,,18,splatcharger_collabo,4,4,0,2,3,1057,,60,nzap85,3,2,1,1,3,992,,17,splatroller,5,4,1,4,2,895,,71
2018-02-03T14:00:00+00:00,2.2.1,fest,squad_4,nawabari,gangaze,180,alpha,FALSE,nzap85,3,1,2,3,2,791,,70,96gal,5,4,1,4,2,878,,59,splatroller,4,4,0,5,2,729,,66,rapid,3,3,0,5,1,643,,99,nzap85,8,5,3,3,3,910,,67,prime_collabo,6,5,1,4,2,771,,68,splatcharger,3,2,1,0,2,698,,64,dynamo_tesla,7,4,3,5,1,611,,76
2018-02-03T16:00:00+00:00,2.2.1,fest,standard,nawabari,hokke,180,alpha,FALSE,nzap85,2,1,1,1,3,1094,,70,l3reelgun,1,1,0,1,3,1379,,81,rapid,2,2,0,3,2,811,,49,sshooter_collabo,9,8,1,3,1,766,,44,bold,2,2,0,0,1,1345,,89,bold,2,2,0,5,3,965,,15,splatcharger,3,2,1,4,3,889,,56,liter4k_scope,3,2,1,3,3,857,,55
2018-02-03T16:00:00+00:00,2.2.1,fest,standard,nawabari,hakofugu,180,alpha,FALSE,nzap85,9,7,2,3,2,840,,70,bold,5,4,1,5,1,779,,26,sshooter,7,6,1,3,1,746,,58,hotblaster,7,6,1,2,2,703,,100,52gal_deco,9,7,2,5,2,839,,108,nzap85,5,4,1,7,1,790,,83,splatroller,3,2,1,5,1,619,,63,nzap85,4,0,4,6,0,578,,70
2018-02-03T16:00:00+00:00,2.2.1,fest,standard,nawabari,mystery,180,bravo,FALSE,nzap85,6,5,1,3,2,1084,,70,dualsweeper,5,1,4,2,4,1161,,64,jetsweeper,3,2,1,2,5,1158,,69,nzap85,6,6,0,2,4,1117,,78,wakaba,5,3,2,3,4,1342,,77,bold,3,1,2,4,4,1315,,37,nzap89,2,1,1,2,5,1093,,68,heroshooter_replica,4,4,0,5,1,922,,46
2018-02-03T16:00:00+00:00,2.2.1,fest,standard,nawabari,hakofugu,180,alpha,FALSE,nzap85,8,7,1,3,2,757,,70,wakaba,6,2,4,1,4,1123,,57,promodeler_mg,4,3,1,3,2,841,,68,parashelter,8,3,5,4,2,814,,76,barrelspinner,3,3,0,0,5,948,,58,sputtery_hue,3,3,0,6,2,823,,32,squiclean_a,4,2,2,3,3,749,,77,maneuver,4,3,1,6,1,746,,37
2018-02-03T16:00:00+00:00,2.2.1,fest,standard,nawabari,hokke,180,alpha,FALSE,nzap85,5,3,2,2,3,1026,,70,jetsweeper,2,2,0,1,4,915,,50,bold,1,1,0,4,2,765,,26,96gal_deco,3,3,0,3,2,692,,72,wakaba,3,1,2,0,4,910,,45,sshooter,4,4,0,5,2,876,,44,pablo,2,2,0,2,2,873,,91,96gal_deco,4,3,1,2,2,743,,53
